Year,Site,Habitat,Benthic Invertebrate Consumer,Browser,Brusher,Concealed Cropper,Corallivore,Cropper,Excavator,Herbivore/Detritivore,Omnivore,Piscivore,Scraper,Planktivore_exclusively,Fish Scale Consumer,Sediment Sucker,na,Unknown
2012,2,FO,5928.330000000004,296.5,1461.63,1396.35,641.2300000000001,4281.249999999999,12711.779999999999,11.24,3726.3200000000006,7628.409999999999,18973.390000000003,2483.35,23.590000000000003,NA,NA,NA
2012,2,FR,4989.659999999999,503.6,5654.09,4938.41,946.23,3438.44,4597.21,3.63,3890.8399999999992,1582.39,755.9700000000001,193.02,NA,NA,NA,NA
2012,3,BA,2157.809999999999,525.6,1680.06,1545.7100000000003,2389.3699999999994,715.5100000000001,1038.7299999999998,NA,446.37,7405.2,4139.589999999999,NA,NA,NA,NA,NA
2012,3,FO,4055.33,2038.6,11526.460000000001,4545.629999999999,351.90000000000003,3289.5499999999997,5647.999999999999,91.04,5006.35,3792.8700000000003,2354.5,90.19,2.98,NA,NA,NA
2012,3,FR,12305.63,270.85,2360.7000000000003,2536.2999999999997,2159.6599999999994,896.95,1222.3500000000004,NA,1743.7600000000004,3214.1999999999994,427.95,544.0100000000001,NA,NA,NA,NA
2012,4,BA,7377.770000000002,487.1,4372.5,427.28,1110.2800000000002,3829.82,2173.39,NA,894.9599999999999,1304.3000000000002,961.6500000000001,NA,NA,NA,NA,NA
2012,4,FO,3942.91,1995,3640.74,1005.29,200.41000000000003,2351.4400000000005,3374.1699999999996,178.85999999999999,3670.88,4856.269999999999,5182.4,1457.6499999999996,5.92,NA,NA,NA
2012,4,FR,7775.28,231.64000000000001,1261.38,982.5899999999999,4993.13,1572.51,539.5500000000001,NA,3036.4300000000003,4690.620000000001,459.07000000000005,3.7,NA,NA,NA,NA
2012,5,BA,2207.47,NA,4268.35,NA,1120.4799999999998,1222.45,3381.83,3.44,2291.1099999999997,82925.69,4874.28,1.22,NA,NA,NA,NA
2012,5,FO,19583.229999999992,874.6,298.5,388.2,313.21,2605.96,3730.8,37.26,3560.9199999999987,4242.7,5635.8,497.76,NA,NA,NA,NA
2012,5,FR,17930.24,NA,4204.98,1798.76,1657.9699999999996,1014.78,3309.999999999999,16.4,2681.8000000000006,25375.38,871.6500000000001,3946.51,NA,NA,NA,NA
2012,6,BA,3795.639999999999,NA,3134.32,10.89,1663.54,10266.68,1889.2900000000002,NA,1531.6099999999994,367.42,4107.0199999999995,14.17,NA,NA,NA,NA
2012,6,FO,17338.28,1353.4,1979.1000000000001,513.62,35.02,2285.42,7911.02,155.89999999999998,5582.84,13576.2,11338.799999999997,556.67,3.05,NA,NA,NA
2012,6,FR,3024.369999999999,209.00000000000003,6214.14,1531.1000000000001,6700.870000000001,1614.2499999999998,7376.210000000001,3.44,2531.2200000000003,567.9,2098,764.3,NA,NA,NA,NA
2013,1,BA,3153.1800000000003,123,7745.11,761.6999999999999,1239.07,4457.43,1270.04,9.989999999999998,2818.6399999999985,223.28999999999996,1992.6199999999997,9.57,1.54,NA,NA,NA
2013,1,FO,3343.180000000001,481.79999999999995,343.88,1469.65,937.99,4967.38,9880.4,29.14,5734.319999999999,8802.809999999998,24082.499999999996,3134.24,4.68,NA,NA,NA
2013,1,FR,7054.400000000003,439.84000000000003,3885.15,4487.2300000000005,2707.6599999999994,2243.0200000000004,2223.0899999999997,NA,4839.570000000001,53815.579999999994,2643.6800000000003,59.6,NA,NA,NA,NA
2013,2,BA,2827.8800000000015,320,5687.2300000000005,1893.5900000000004,1239.0000000000002,2251.5300000000007,2017.0800000000002,23.33,1816.8099999999997,23.79,1731.5200000000002,58.169999999999995,NA,NA,NA,NA
2013,2,FO,5368.049999999999,452.20000000000005,3843.88,1623.8000000000002,1145.72,3035.28,19860.299999999996,14.17,5879.64,5097.0999999999985,32315.9,2386.2299999999996,5.529999999999999,NA,NA,NA
2013,2,FR,8585.060000000005,473.34000000000003,3819.5199999999995,2522.2000000000003,2067.9500000000003,2318.9700000000003,4073.89,10.15,4976.57,2097.7,1124.2300000000002,344.54999999999995,0.97,NA,NA,NA
2013,3,BA,4700.000000000001,567.9100000000001,2924.8999999999996,2428.5800000000004,2065.7999999999997,763.4200000000001,1948.46,0.44,907.91,30167.260000000002,4023.110000000001,NA,NA,NA,NA,NA
2013,3,FO,37290.35999999997,3341.9,24979.619999999995,4342.56,1087.14,4618.209999999999,15155.800000000001,109.67,7250.27,7042.689999999999,12269.7,41.24,NA,NA,NA,NA
2013,3,FR,27062.200000000026,NA,2765.71,3626.6699999999996,2312.4500000000003,291.99,3284.44,NA,2403.539999999999,1859.36,1205.6599999999999,833.9200000000001,9.2,1458.8,NA,NA
